"","Sample","Av_Total_Int","Av_Blue_Int_Percent","Av_Green_Int_Percent","Av_Yellow_Int_Percent","Av_Red_Int_Percent","Av-LM","AV_MS","Av_Chroma","Av_Hue_radians","Av_Hue_degrees","Av_Adjust_Hue_degrees","Av_Adjust_Radians","Adjust_Hue_degrees_2SE","Total_Int_2SE","Chroma_2SE","Reverse_Chroma","Color_Class","Geography","Population","Intensity_Class"
"./2020_03_14_30_Intensity_Chroma_Hue.txt","./2020_03_14_30_Intensity_Chroma_Hue.txt",7988.37660790431,0.0780990256834304,0.0309952092544255,0.146499548533357,0.744406216528787,0.713411007274361,0.0684005228499267,0.716715442166068,0.0959683497783286,5.49858140913348,95.4985814091335,1.66743554841344,0.330514119888156,357.345889089727,0.0217408537569656,0.283284557833932,"DR","North ","3","D"
"./2020_03_19_21_Intensity_Chroma_Hue.txt","./2020_03_19_21_Intensity_Chroma_Hue.txt",13848.2625257318,0.23852524047281,0.15588935883559,0.132632272153354,0.472953128538246,0.317063769702656,-0.105892968319455,0.334314492602981,5.96018855531347,341.493649321637,71.493649321637,1.24830181355239,0.499607593325087,417.891136869481,0.00975131311463686,0.665685507397019,"LB","North ","3","L"
"./2020_07_01_03_Intensity_Chroma_Hue.txt","./2020_07_01_03_Intensity_Chroma_Hue.txt",8205.17445182026,0.0777661444648877,0.0312768396827507,0.146320487524657,0.744636528327704,0.713359688644954,0.0685543430597696,0.716657197409229,0.0956787073777471,5.48198612201212,95.4819861220121,1.66714578943196,0.190652192803526,324.98853687943,0.0232586749571399,0.283342802590771,"DR","North ","7","D"
"./2020_07_02_01_Intensity_Chroma_Hue.txt","./2020_07_02_01_Intensity_Chroma_Hue.txt",10989.5195509013,0.239589847617681,0.116001405947354,0.11333560618231,0.531073140252655,0.415071734305301,-0.126254241435371,0.433916944667614,5.98735010313834,343.049891377045,73.0498913770453,1.27547429388492,0.609812677687196,320.863127297692,0.00959540999725367,0.566083055332385,"DB","North ","7","D"
"./2020_07_04_03_Intensity_Chroma_Hue.txt","./2020_07_04_03_Intensity_Chroma_Hue.txt",9738.85175041424,0.116376445962233,0.046950501219219,0.181486251947973,0.655186800870574,0.608236299651355,0.0651098059857399,0.611716152552314,0.106574220052262,6.10625301389314,96.1062530138931,1.67804568754417,0.13740693757538,225.450572478439,0.00905459721404752,0.388283847447686,"DR","North ","7","D"
"./2020_07_05_01_Intensity_Chroma_Hue.txt","./2020_07_05_01_Intensity_Chroma_Hue.txt",15143.4559808357,0.200066178688144,0.118129426816977,0.208549534049559,0.47325486044532,0.355125433628342,0.008483355361415,0.355260898905501,0.0230188890306789,1.31888519053789,91.3188851905379,1.59445672554907,0.473100345657255,425.889252636533,0.0146022362725599,0.644739101094499,"LR","North ","7","L"
"./2020_07_07_21_Intensity_Chroma_Hue.txt","./2020_07_07_21_Intensity_Chroma_Hue.txt",8744.50101471677,0.105332447428967,0.040360300263302,0.166015852071354,0.688291400236377,0.647931099973075,0.0606834046423864,0.650864651016018,0.0935064739713617,5.35752631570892,95.3575263157089,1.66497268170285,0.592639165269455,379.275373895103,0.0186851243469474,0.349135348983982,"DR","North ","7","D"
"./2020_07_08_01_Intensity_Chroma_Hue.txt","./2020_07_08_01_Intensity_Chroma_Hue.txt",11918.8843394396,0.174623196541252,0.0856183549605425,0.196153007897016,0.543605440601189,0.457987085640647,0.0215298113557639,0.458520434545125,0.0466975104175794,2.6755702606955,92.6755702606955,1.6181448775677,0.380191120708796,199.482610311395,0.0121697609607929,0.541479565454875,"LR","North ","7","L"
"./2020_07_09_02_Intensity_Chroma_Hue.txt","./2020_07_09_02_Intensity_Chroma_Hue.txt",7725.5670423156,0.0803780557171627,0.0361021398989027,0.146281878871097,0.737237925512838,0.701135785613935,0.0659038231539345,0.704284369975787,0.0937202287429062,5.36977356196919,95.3697735619692,1.66518652251057,0.450430334412681,243.324223289873,0.013446584095442,0.295715630024213,"DR","North ","7","D"
"./2020_07_11_01_Intensity_Chroma_Hue.txt","./2020_07_11_01_Intensity_Chroma_Hue.txt",8328.92536521943,0.100646369841423,0.0431058351342194,0.14849054438243,0.707757250641927,0.664651415507708,0.0478441745410075,0.666435324387012,0.071834595261832,4.11581913153343,94.1158191315334,1.64329208007439,0.477729351310279,144.206361274633,0.00876472794848977,0.333564675612988,"DR","North ","7","D"
